id,category_id,size_id
1,3,1
2,4,1
3,5,1
4,6,1
5,7,1
6,8,1
7,9,1
8,10,1
9,11,1
10,12,1
11,13,1
12,14,1
13,15,1
14,16,1
15,17,1
16,18,1
17,19,1
18,20,1
19,22,1
20,23,1
21,24,1
22,25,1
23,26,1
24,27,1
25,28,1
26,29,1
27,30,1
28,31,1
29,32,1
30,33,1
31,34,1
32,35,1
33,36,1
34,37,1
35,38,1
36,39,1
37,40,1
38,41,1
39,42,1
40,44,1
41,45,1
42,46,1
43,47,1
44,48,1
45,49,1
46,50,1
47,51,1
48,52,1
49,53,1
50,54,1
51,55,1
52,57,1
53,58,1
54,59,1
55,60,1
56,61,1
57,63,1
58,64,1
59,65,1
60,66,1
61,68,12
62,69,12
63,70,12
64,71,12
65,72,12
66,73,12
67,74,12
68,75,12
69,76,12
70,77,12
71,79,1
72,80,1
73,81,1
74,82,1
75,83,1
76,84,1
77,85,1
78,86,1
79,180,1
80,181,1
81,182,1
82,185,1
83,186,1
84,187,1
85,188,1
86,189,1
87,190,1
88,191,1
89,193,1
90,194,1
91,195,1
92,196,1
93,197,1
94,198,1
95,199,1
96,200,1
97,201,1
98,203,1
99,204,1
100,205,1
101,208,1
102,209,1
103,210,1
104,211,1
105,212,1
106,213,1
107,214,1
108,215,1
109,216,1
110,217,1
111,218,1
112,219,1
113,221,1
114,222,1
115,223,1
116,224,1
117,225,1
118,226,1
119,227,1
120,228,1
121,229,1
122,230,1
123,231,1
124,232,1
125,233,1
126,234,1
127,235,1
128,236,1
129,237,1
130,238,1
131,239,1
132,240,1
133,241,1
134,242,1
135,243,1
136,245,1
137,246,1
138,247,1
139,248,1
140,249,1
141,250,1
142,251,1
143,252,1
144,253,1
145,255,25
146,256,25
147,257,25
148,258,25
149,259,25
150,260,25
151,261,25
152,262,25
153,277,1
154,278,1
155,279,1
156,280,1
157,337,1
158,338,1
159,347,1
160,348,1
161,933,42
